Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
200501BS70113,1,1,2,2,72,10,3,0,0,0,1,-1,11,-1
200501BS70114,1,1,3,2,21,5,3,5,3,0,0,-1,0,1
200501BS70115,2,1,1,2,27,6,3,0,0,0,0,-1,9,1
200501BS70116,2,1,1,2,31,6,3,0,0,0,0,-1,1,1
200501BS70117,1,1,1,1,33,6,3,0,0,0,0,-1,5,1
200501BS70118,1,1,3,2,65,9,3,1,3,0,0,-1,0,-1
200501BS70119,1,1,3,1,22,5,3,1,1,0,0,-1,0,1
200501BS70121,2,1,1,1,40,7,3,0,0,0,0,-1,2,1
200501BS70123,1,1,3,2,53,8,3,4,2,0,0,-1,0,-1
200501BS70124,1,1,1,2,39,7,3,0,0,0,0,-1,9,1
200501BS70125,1,1,1,2,45,7,2,0,0,0,0,-1,3,1
200501BS70126,2,1,1,1,12,3,3,0,0,0,0,-1,1,-1
200501BS70127,1,1,3,2,31,6,3,1,1,0,0,-1,0,1
200501BS70128,2,1,1,2,30,6,3,0,0,0,0,-1,1,1
200501BS70129,1,1,3,1,27,6,3,1,3,0,0,-1,0,1
200501BS70130,2,1,1,1,31,6,3,0,0,0,0,-1,5,1
200501BS70131,1,1,3,2,24,5,3,1,1,0,0,-1,0,1
200501BS70132,1,1,3,1,28,6,3,10,9,0,0,-1,0,1
200501BS70133,1,1,1,1,37,7,3,0,0,0,0,-1,5,1
200501BS70134,1,1,1,1,21,5,2,0,0,0,0,-1,3,1
200501BS70135,1,1,2,1,24,5,3,0,0,0,3,-1,11,1
200501BS70136,2,1,1,1,21,5,2,0,0,0,0,-1,1,-1
200501BS70137,2,1,1,1,36,7,3,0,0,0,0,-1,1,1
200501BS70140,1,1,1,2,36,7,3,0,0,0,0,-1,3,1
200501BS70141,1,1,1,1,33,6,3,0,0,0,0,-1,5,1
200501BS70142,1,1,1,1,30,6,3,0,0,0,0,-1,5,2
200501BS70144,2,1,1,1,31,6,3,0,0,0,0,-1,9,1
200501BS70145,1,1,3,2,85,11,3,5,3,0,0,-1,0,1
200501BS70148,1,1,3,2,25,5,3,5,3,0,0,-1,0,1
200501BS70149,2,1,1,1,13,3,3,0,0,0,0,-1,1,1
200501BS70151,1,1,3,1,37,7,3,5,1,0,0,-1,0,1
200501BS70152,2,1,1,1,45,7,3,0,0,0,0,-1,3,1
200501BS70153,1,1,2,1,28,6,3,0,0,1,0,-1,9,1
200501BS70154,2,1,1,1,44,7,3,0,0,0,0,-1,1,-1
200501BS70155,1,1,2,2,30,6,3,0,0,0,0,-1,5,-1
200501BS70155,1,2,1,1,35,6,3,0,0,0,0,-1,5,1
200501BS70156,1,1,1,1,31,6,3,0,0,0,0,-1,5,3
200501BS70157,1,1,1,1,34,6,3,0,0,0,0,-1,1,1
200501BS70158,1,1,1,1,61,9,3,0,0,0,0,-1,1,1
200501BS70160,1,1,1,2,32,6,3,0,0,0,0,-1,1,1
200501BS70161,2,1,1,2,38,7,3,0,0,0,0,-1,3,1
200501BS70163,2,1,1,1,20,4,3,0,0,0,0,-1,3,1
200501BS70164,2,1,1,1,34,6,3,0,0,0,0,-1,3,1
