Accident_Index,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location_Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive?,Journey_Purpose_of_Driver,Sex_of_Driver,Age_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type
200501LX50800,2,2,0,7,0,8,0,10,7,0,0,1,15,1,-1,-1,-1,-1,-1,-1,-1
200501LX50801,1,3,0,18,0,8,0,0,0,0,3,1,15,1,37,7,85,1,9,7,1
200501LX50801,2,9,0,9,0,8,0,0,0,0,0,1,15,1,30,6,1769,1,3,3,1
200501LX50802,1,9,0,6,0,1,0,0,0,0,3,1,15,1,23,5,1998,1,7,7,1
200501LX50802,2,9,0,18,0,1,0,0,0,0,4,1,15,1,32,6,1270,1,17,1,1
200501LX50803,1,3,0,3,0,1,0,0,0,0,1,1,15,1,32,6,-1,-1,-1,6,1
200501LX50803,2,9,0,1,0,1,0,0,0,0,2,1,15,1,-1,-1,1149,1,1,-1,-1
200501LX50804,1,1,0,18,0,8,0,0,0,0,3,1,15,1,28,6,-1,-1,-1,4,1
200501LX50804,2,9,0,7,0,8,0,0,0,0,4,1,15,1,-1,-1,1796,1,11,-1,-1
200501LX50805,1,19,0,5,0,0,0,0,0,0,1,1,15,1,49,8,2461,2,-1,9,1
200501LX50805,2,9,0,14,0,0,0,0,0,0,2,1,15,1,36,7,2300,1,8,4,1
200501LX50806,1,9,0,3,0,0,0,0,0,0,2,1,15,1,40,7,1124,1,3,7,1
200501LX50806,2,9,0,3,0,0,0,0,0,0,2,1,15,2,29,6,-1,-1,-1,5,1
200501LX50806,3,9,0,18,0,0,0,0,0,0,1,1,15,1,21,5,1124,1,3,-1,-1
200501LX50807,1,9,0,18,0,0,0,10,0,0,4,1,15,2,26,6,1399,2,-1,3,1
200501LX50809,1,5,0,18,0,1,1,0,0,0,1,1,15,1,26,6,645,1,4,6,1
200501LX50809,2,19,0,9,0,8,0,0,0,0,0,1,15,1,-1,-1,1998,2,3,-1,-1
200501LX50809,3,19,0,2,0,2,0,0,0,0,2,1,15,1,-1,-1,2295,1,1,-1,-1
200501LX50810,1,1,0,3,0,0,0,0,0,0,2,1,15,1,32,6,-1,-1,-1,3,1
200501LX50810,2,9,0,18,0,0,0,0,0,0,1,1,15,1,-1,-1,-1,-1,-1,-1,-1
200501LX50812,1,9,0,3,0,0,0,0,0,0,2,1,15,2,33,6,1149,1,1,2,1
200501LX50812,2,9,0,4,0,0,0,0,0,0,1,1,15,1,-1,-1,1905,2,7,3,1
200501LX50813,1,5,0,18,0,0,0,10,0,0,0,1,15,1,35,6,748,1,5,3,1
200501LX50813,2,19,0,18,0,0,0,0,0,0,0,1,15,1,-1,-1,-1,-1,-1,-1,-1
200501LX50814,1,9,0,18,0,1,0,0,0,0,1,1,15,2,22,5,-1,-1,-1,1,1
